id,epic,phase,module,title,type,priority,story_points,acceptance_criteria
MSALS-041,Music Generation,2,music,Design generated music schema,story,P1,2,generated_music table with status tracking
MSALS-042,Music Generation,2,music,Create music migration and apply,task,P1,2,Table with RLS
MSALS-043,Music Generation,2,music,Build music-generator adapter edge function,story,P2,8,Reads MDALS insights then calls music generation API
MSALS-044,Music Generation,2,music,Build music player component,story,P2,3,Audio player widget for generated tracks
MSALS-045,Music Generation,2,music,Genre selection UI (country/rap/R&B/gospel),story,P2,3,User picks genre before generation
MSALS-046,Avatar Attribution,3,avatar,Design teacher/facility profile schema,story,P1,2,teacher_profiles facility_profiles plan_attributions tables
MSALS-047,Avatar Attribution,3,avatar,Create avatar migration and apply,task,P1,2,Tables with RLS
MSALS-048,Avatar Attribution,3,avatar,Build teacher profile page,story,P2,5,Teacher can create/edit profile with avatar
MSALS-049,Avatar Attribution,3,avatar,Build teacher attribution card,story,P2,3,Shows teacher info on student-facing plan pages
MSALS-050,Licensing Workflow,3,licensing,Design access request schema,story,P1,2,access_requests and plan_access tables
MSALS-051,Licensing Workflow,3,licensing,Create licensing migration and apply,task,P1,2,Tables with RLS
MSALS-052,Licensing Workflow,3,licensing,Build access-manager edge function,story,P2,5,request approve deny check list actions
MSALS-053,Licensing Workflow,3,licensing,Build access request UI for students,story,P2,3,Request Learning Access button and form
MSALS-054,Licensing Workflow,3,licensing,Build request management UI for teachers,story,P2,3,Approve/deny queue with notifications
MSALS-055,SaaS Infrastructure,4,saas,Design multi-tenant schema,story,P2,3,tenants tenant_members usage_metrics tables
MSALS-056,SaaS Infrastructure,4,saas,Create SaaS migration and apply,task,P2,2,Tables with RLS and RBAC policies
MSALS-057,SaaS Infrastructure,4,saas,Build tenant-manager edge function,story,P2,8,create invite assign-role get-usage check-quota
MSALS-058,SaaS Infrastructure,4,saas,Build admin dashboard,story,P2,8,Usage metrics tenant management UI
MSALS-059,SaaS Infrastructure,4,saas,Implement RBAC middleware,story,P2,5,Role checks in edge functions and frontend
MSALS-060,SaaS Infrastructure,4,saas,Usage metering and billing hooks,story,P2,5,Track API calls plans generated songs analyzed
